trial_number,word,ink_color,ink_color_display,condition,correct_response
1,VERDE,green,#1BAE55,congruent,space
2,VERDE,green,#1BAE55,congruent,space
3,VERDE,green,#1BAE55,congruent,space
4,VERDE,green,#1BAE55,congruent,space
5,AMARELO,yellow,#B8860B,congruent,space
6,AMARELO,yellow,#B8860B,congruent,space
7,AMARELO,yellow,#B8860B,congruent,space
8,AMARELO,yellow,#B8860B,congruent,space
9,ROSA,pink,#D42E88,congruent,space
10,ROSA,pink,#D42E88,congruent,space
11,ROSA,pink,#D42E88,congruent,space
12,ROSA,pink,#D42E88,congruent,space
13,PRETO,black,#1A1A1A,congruent,space
14,PRETO,black,#1A1A1A,congruent,space
15,PRETO,black,#1A1A1A,congruent,space
16,PRETO,black,#1A1A1A,congruent,space
17,VERMELHO,red,#CF2E2E,congruent,space
18,VERMELHO,red,#CF2E2E,congruent,space
19,VERMELHO,red,#CF2E2E,congruent,space
20,VERMELHO,red,#CF2E2E,congruent,space
21,LARANJA,orange,#E56A00,congruent,space
22,LARANJA,orange,#E56A00,congruent,space
23,LARANJA,orange,#E56A00,congruent,space
24,LARANJA,orange,#E56A00,congruent,space
25,MARROM,brown,#6D4027,congruent,space
26,MARROM,brown,#6D4027,congruent,space
27,MARROM,brown,#6D4027,congruent,space
28,MARROM,brown,#6D4027,congruent,space
29,ROXO,purple,#7837B8,congruent,space
30,ROXO,purple,#7837B8,congruent,space
31,ROXO,purple,#7837B8,congruent,space
32,ROXO,purple,#7837B8,congruent,space
33,AZUL,blue,#1976D2,congruent,space
34,AZUL,blue,#1976D2,congruent,space
35,AZUL,blue,#1976D2,congruent,space
36,AZUL,blue,#1976D2,congruent,space
37,CINZA,gray,#626870,congruent,space
38,CINZA,gray,#626870,congruent,space
39,CINZA,gray,#626870,congruent,space
40,CINZA,gray,#626870,congruent,space
41,VERDE,yellow,#B8860B,incongruent,
42,AMARELO,pink,#D42E88,incongruent,
43,ROSA,black,#1A1A1A,incongruent,
44,PRETO,red,#CF2E2E,incongruent,
45,VERMELHO,orange,#E56A00,incongruent,
46,LARANJA,brown,#6D4027,incongruent,
47,MARROM,purple,#7837B8,incongruent,
48,ROXO,blue,#1976D2,incongruent,
49,AZUL,gray,#626870,incongruent,
50,CINZA,green,#1BAE55,incongruent,
51,VERDE,black,#1A1A1A,incongruent,
52,AMARELO,red,#CF2E2E,incongruent,
53,ROSA,orange,#E56A00,incongruent,
54,PRETO,brown,#6D4027,incongruent,
55,VERMELHO,purple,#7837B8,incongruent,
56,LARANJA,blue,#1976D2,incongruent,
57,MARROM,gray,#626870,incongruent,
58,ROXO,green,#1BAE55,incongruent,
59,AZUL,yellow,#B8860B,incongruent,
60,CINZA,pink,#D42E88,incongruent,
